fecha_publicacion|publicacion|diario_numero|sumario_id|sumario_url_pdf|seccion_codigo|seccion_nombre|departamento_codigo|departamento_nombre|epigrafe_nombre|item_id|item_titulo|item_url_pdf|item_url_html|item_url_xml|texto|szKBytes
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|1|I. Disposiciones generales|5140|MINISTERIO DE HACIENDA|Tributos|BOE-A-2024-9927|Resolución de 8 de mayo de 2024, del Departamento de Gestión Tributaria de la Agencia Estatal de Administración Tributaria, por la que se modifica la de 8 de abril de 2021, por la que se aprueban los modelos de comunicaciones entre los intervinientes y partícipes en los mecanismos transfronterizos de planificación fiscal objeto de declaración.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9927.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9927|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9927||384
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|1|I. Disposiciones generales|9575|MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO|Política energética|BOE-A-2024-9928|Orden TED/463/2024, de 24 de abril, por la que se establecen orientaciones de política energética a la Comisión Nacional de los Mercados y la Competencia relacionadas con el sector del gas natural.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9928.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9928|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9928||203
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|1|I. Disposiciones generales|8170|COMUNIDAD FORAL DE NAVARRA|Créditos extraordinarios|BOE-A-2024-9929|Ley Foral 3/2024, de 25 de abril, de concesión de un crédito extraordinario por un importe total de 539.000 euros en varios Departamentos del Gobierno de Navarra en el Presupuesto de 2024.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9929.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9929|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9929||212
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|1|I. Disposiciones generales|8170|COMUNIDAD FORAL DE NAVARRA|Préstamos|BOE-A-2024-9930|Ley Foral 4/2024, de 2 de mayo, por la que se autoriza a Sociedad de Desarrollo de Navarra S.L. (SODENA) la concesión de un préstamo a Sunsundegui S.A.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9930.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9930|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9930||194
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|5140|MINISTERIO DE HACIENDA|Ceses|BOE-A-2024-9931|Resolución de 7 de mayo de 2024, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el cese de doña Olga Bobadilla Pérez como Delegada de la Agencia Estatal de Administración Tributaria de Vigo.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9931.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9931|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9931|En uso de las atribuciones que me confiere el artículo 103.Tres.2 de la Ley 31/1990, de 27 de diciembre, según redacción dada al mismo por la Ley 18/1991, de 6 de junio, he dispuesto el cese de doña Olga Bobadilla Pérez como Delegada de la Agencia Estatal de Administración Tributaria de Vigo, agradeciéndole los servicios prestados. Madrid, 7 de mayo de 2024.–El Presidente de la Agencia Estatal de Administración Tributaria, Jesús Gascón Catalán.|186
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|5140|MINISTERIO DE HACIENDA|Nombramientos|BOE-A-2024-9932|Resolución de 7 de mayo de 2024, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se nombra Delegado de la Agencia Estatal de Administración Tributaria de Vigo a don Pablo Meijide Doval.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9932.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9932|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9932|En uso de las atribuciones que me confiere el artículo 103.Tres.2 de la Ley 31/1990, de 27 de diciembre, según redacción dada al mismo por la Ley 18/1991, de 6 de junio, he dispuesto el nombramiento de don Pablo Meijide Doval, como Delegado de la Agencia Estatal de Administración Tributaria de Vigo. Madrid, 7 de mayo de 2024.–El Presidente de la Agencia Estatal de Administración Tributaria, Jesús Gascón Catalán.|186
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|7320|MINISTERIO DEL INTERIOR|Ceses|BOE-A-2024-9933|Orden INT/464/2024, de 9 de mayo, por la que se dispone el cese del Teniente General don Luis Antonio del Castillo Ruano en el Mando de la 12.ª Zona de la Guardia Civil, Comunidad de Castilla y León (León).|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9933.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9933|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9933|De conformidad con lo dispuesto en el artículo 14.1 de la Ley Orgánica 2/1986, de 13 de marzo, de Fuerzas y Cuerpos de Seguridad, y en virtud de las atribuciones que me confiere el artículo 79 de la Ley 29/2014, de 28 de noviembre, de Régimen del Personal de la Guardia Civil, a propuesta del Director General de la Guardia Civil y con la conformidad del Secretario de Estado de Seguridad, acuerdo el cese del Teniente General don Luis Antonio del Castillo Ruano, en el Mando de la 12.ª Zona de la Guardia Civil, Comunidad Autónoma de Castilla y León (León). Madrid, 9 de mayo de 2024.–El Ministro del Interior, Fernando Grande-Marlaska Gómez.|187
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|7320|MINISTERIO DEL INTERIOR|Nombramientos|BOE-A-2024-9934|Orden INT/465/2024, de 9 de mayo, por la que se nombra Jefe del Mando de Operaciones de la Dirección General de la Guardia Civil (Madrid) al Teniente General don Luis Antonio del Castillo Ruano.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9934.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9934|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9934|De conformidad con lo dispuesto en el artículo 14.1 de la Ley Orgánica 2/1986, de 13 de marzo, de Fuerzas y Cuerpos de Seguridad, y en virtud de las atribuciones que me confiere el artículo 79 de la Ley 29/2014, de 28 de noviembre, de Régimen del Personal de la Guardia Civil, a propuesta del Director General de la Guardia Civil y con la conformidad del Secretario de Estado de Seguridad, acuerdo el nombramiento del Teniente General don Luis Antonio del Castillo Ruano como Jefe del Mando de Operaciones de la Dirección General de la Guardia Civil (Madrid). Madrid, 9 de mayo de 2024.–El Ministro del Interior, Fernando Grande-Marlaska Gómez.|187
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|9593|MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA|Destinos|BOE-A-2024-9935|Resolución de 10 de mayo de 2024, de la Subsecretaría, por la que se resuelve parcialmente la convocatoria de libre designación, efectuada por Resolución de 27 de febrero de 2024.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9935.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9935|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9935|Por Resolución de 27 de febrero de 2024 (BOE de 1 de marzo) se anunciaron para su cobertura, por el procedimiento de libre designación, puestos de trabajo en el Ministerio de Política Territorial y Memoria Democrática. Previa la tramitación prevista en el capítulo III del título III del Real Decreto 364/1995, de 10 de marzo (BOE de 10 de abril), de conformidad con lo dispuesto en el artículo 20.1.c) de la Ley 30/1984, de 2 de agosto, según la redacción dada al mismo por la Ley 23/1988, de 28 de julio (BOE del 29), una vez acreditada la observancia del procedimiento debido, así como el cumplimiento por parte del candidato elegido de los requisitos y especificaciones exigidos en la convocatoria, Esta Subsecretaría ha dispuesto: Primero. Resolver parcialmente la referida convocatoria, en los términos que se señalan en el anexo adjunto. Segundo. La toma de posesión de los nuevos destinos se realizará conforme a lo establecido en el artículo 48 del Real Decreto 364/1995, antes citado. Tercero. Contra la presente resolución, que pone fin a la vía administrativa, podrá interponerse potestativamente recurso de reposición en el plazo de un mes, contado desde el día siguiente al de su publicación, ante el mismo órgano que la ha dictado, de acuerdo con lo dispuesto en los artículos 123 y 124 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, o recurso contencioso-administrativo en el plazo de dos meses, ante la Sala de lo Contencioso-Administrativo del Tribunal Superior de Justicia de Madrid o del Tribunal Superior de Justicia de la Comunidad Autónoma donde tenga su domicilio, a elección del interesado, con arreglo a lo dispuesto en los artículos 10.1.i) y 14.1.segunda de la Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-administrativa. Madrid, 10 de mayo de 2024.–La Subsecretaria de Política Territorial y Memoria Democrática, P. D. (Orden TER/950/2022, de 4 de octubre), el Director General de la Administración General del Estado en el Territorio, Agustín Torres Herrero. ANEXO Convocatoria libre designación Resolución de 27 de febrero de 2024 (BOE del 1 de marzo) Puesto adjudicado Datos personales del adjudicatario Situación Núm. de orden Código puesto Puesto Nivel Apellidos y nombre NRP Grupo Cuerpo o escala Delegación del Gobierno en Andalucía Unidad de Apoyo 1 2455015 –Ayudante de Secretaría–. 17 Alejandre Alcázar, Sergio. ***5872*68 C1 A1135 Excedencia voluntaria por servicios en el sector público.|206
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|9593|MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA|Destinos|BOE-A-2024-9936|Resolución de 14 de mayo de 2024, de la Subsecretaría, por la que se resuelve el concurso específico convocado por Resolución de 19 de febrero de 2024.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9936.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9936|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9936||394
20240517|BOE|120|BOE-S-2024-120|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-S-2024-120.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|9595|MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA|Nombramientos|BOE-A-2024-9937|Resolución de 14 de mayo de 2024, de la Secretaría de Estado de Función Pública, por la que se nombra personal funcionario de carrera, por el sistema general de acceso libre y promoción interna, del Cuerpo General Administrativo de la Administración del Estado, especialidad Tráfico.|https://www.boe.es/boe/dias/2024/05/17/pdfs/BOE-A-2024-9937.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-9937|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-9937||393
