fecha_publicacion|publicacion|diario_numero|sumario_id|sumario_url_pdf|seccion_codigo|seccion_nombre|departamento_codigo|departamento_nombre|epigrafe_nombre|item_id|item_titulo|item_url_pdf|item_url_html|item_url_xml|texto
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|1|I. Disposiciones generales|9562|MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN|Tratados internacionales|BOE-A-2024-5220|Enmiendas de 2022 al Código internacional de seguridad para naves de gran velocidad, 1994 (Código NGV 1994), adoptadas en Londres el 28 de abril de 2022 mediante Resolución MSC.498(105).|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5220.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5220|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5220|
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|1|I. Disposiciones generales|9562|MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN|Tratados internacionales|BOE-A-2024-5221|Enmiendas de 2022 al Código internacional de seguridad para naves de gran velocidad, 2000 (Código NGV 2000) adoptadas en Londres el 28 de abril de 2022 mediante la Resolución MSC. 499(105).|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5221.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5221|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5221|
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|1|I. Disposiciones generales|9562|MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN|Tratados internacionales|BOE-A-2024-5222|Enmiendas a los artículos 1 y 18 del Convenio constitutivo del Banco Europeo de Reconstrucción y Desarrollo para permitir al Banco operar en los países del Mediterráneo Meridional y Oriental y para permitir el uso de fondos especiales en los países beneficiarios y potencialmente beneficiarios, adoptadas el 30 de septiembre de 2011.|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5222.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5222|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5222|
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|1|I. Disposiciones generales|9562|MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN|Tratados internacionales|BOE-A-2024-5223|Corrección de errores de la Aplicación provisional del Acuerdo sobre Transporte Aéreo entre el Reino de España y la República de Chile, hecho en Montreal el 1 de octubre de 2022.|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5223.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5223|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5223|
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|1|I. Disposiciones generales|5140|MINISTERIO DE HACIENDA|Tabaco. Precios|BOE-A-2024-5224|Resolución de 15 de marzo de 2024, de la Presidencia del Comisionado para el Mercado de Tabacos, por la que se publican los precios de venta al público de determinadas labores de tabaco en Expendedurías de Tabaco y Timbre del área del Monopolio.|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5224.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5224|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5224|
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|7320|MINISTERIO DEL INTERIOR|Destinos|BOE-A-2024-5225|Resolución de 11 de marzo de 2024, de la Subsecretaría, por la que se resuelve la convocatoria de libre designación, efectuada por Resolución de 25 de enero de 2024.|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5225.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5225|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5225|Por Resolución de 25 de enero de 2024, de la Subsecretaría (BOE de 1 de febrero), se anunció convocatoria para la provisión, por el sistema de libre designación, de los puestos de trabajo que figuraban relacionados en el anexo I de dicha resolución. De acuerdo con lo dispuesto en el artículo 20.1.c) de la Ley 30/1984, de 2 de agosto, y previo cumplimiento de la tramitación que exige el capítulo III, del título III, del Real Decreto 364/1995, de 10 de marzo, esta Subsecretaría ha dispuesto resolver la referida convocatoria según se detalla en el anexo. Contra esta resolución, que pone fin a la vía administrativa, podrá interponerse recurso contencioso-administrativo en el plazo de dos meses, contados desde el día siguiente al de su publicación, ante la Sala de lo Contencioso-Administrativo del Tribunal Superior de Justicia de su Comunidad Autónoma o del Tribunal Superior de Justicia de Madrid, a elección del recurrente, con arreglo a lo dispuesto en los artículos 10.1.i), 14.2 y 46 de la Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-administrativa o, potestativamente y con carácter previo, recurso administrativo de reposición en el plazo de un mes ante el mismo órgano que la dictó, de acuerdo con los artículos 123 y 124 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas. Madrid, 11 de marzo de 2024.–La Subsecretaria del Interior, Susana Crisóstomo Sanz. ANEXO Resolución: Convocatoria de 25 de enero de 2024 (BOE de 1 de febrero) Puesto adjudicado Puesto de cese Datos personales adjudicatorio/a N.º orden Puesto Nivel Complemento específico Ministerio, Centro Directivo, Provincia Nivel Apellidos y nombre DNI Grupo Cuerpo o escala Situación D.G. de Protección Civil y Emergencias S.G. de Prevención, Planificación y Emergencias 1 Subdirector/Subdirectora General 30 28.541,24 Ministerio del Interior, DG de Protección Civil y Emergencias, Madrid. 29 Salvago González, Benjamín. ****6195* A1 Personal Militar en Administración Civil GR.A1 A EF.R. Activo S.G. Formación y Relaciones Institucionales 2 Director/Directora de la Escuela Nacional de Protección Civil 29 23.021,60 Ministerio del Interior, DG de Protección Civil y Emergencias, Madrid. 29 Garcés de Marcilla Val, Antonia. ****8333* A1 E. Técnicos Facult.Sup.OO.AA.M.Ambiente. Activo
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|4110|MINISTERIO DE CULTURA|Ceses y nombramientos|BOE-A-2024-5226|Resolución de 11 de marzo de 2024, del Instituto de la Cinematografía y de las Artes Audiovisuales, por la que se dispone el cese y nombramiento de vocales en la Comisión de Calificación de Películas Cinematográficas.|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5226.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5226|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5226|La Ley 55/2007, de 28 de diciembre, del Cine, en su artículo 8 establece que antes de proceder a la comercialización, difusión o publicidad de una película cinematográfica u obra audiovisual por cualquier medio o en cualquier soporte, en territorio español, ésta deberá ser calificada por grupos de edades del público al que está destinada, mediante resolución del Director General del Instituto de la Cinematografía y de las Artes Audiovisuales previo informe de la Comisión de Calificación o por los órganos competentes de aquellas Comunidades Autónomas que ostenten competencias en la materia. El Real Decreto 1084/2015, de 4 de diciembre (modificado por el Real Decreto 1090/2020, de 9 de diciembre), por el que se desarrolla la mencionada ley, regula en su artículo 32 la composición y funciones de la Comisión de Calificación de películas cinematográficas como órgano asesor, dependiente del Instituto de la Cinematografía y de las Artes Audiovisuales, encargado de emitir informes sobre la calificación por grupos de edad de las películas destinadas a su exhibición en salas cinematográficas y de las demás obras audiovisuales de acuerdo con lo establecido en el artículo 6. En consecuencia, con el fin de dar cumplimiento a las citadas disposiciones y proceder a la renovación de la Comisión de Calificación, esta Dirección General, en uso de las competencias atribuidas por el artículo 32 del Real Decreto 1084/2015, de 4 de diciembre, ha resuelto: Primero. Cesar, por expiración de su mandato, con efectos desde el 15 de marzo de 2024, al siguiente vocal miembro de la Comisión de Calificación de películas cinematográficas: Don Gabriel Pico Blanco. Segundo. Nombrar como componente de la Comisión de Calificación de películas cinematográficas, con efectos desde el día 16 de marzo de 2024, al siguiente vocal perteneciente a los ámbitos señalados en el artículo 32.2.c) del Real Decreto 1084/2015, de 4 de diciembre: Don Carlos Grau Arquer. Tercero. De acuerdo con lo establecido en el artículo 34.3 del citado real decreto, ningún vocal podrá permanecer en el cargo por un periodo superior a dos años consecutivos. Madrid, 11 de marzo de 2024.–El Director General del Instituto de la Cinematografía y de las Artes Audiovisuales, Ignacio Camós Victoria.
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|4335|MINISTERIO DE SANIDAD|Nombramientos|BOE-A-2024-5227|Resolución de 7 de marzo de 2024, del Instituto Nacional de Gestión Sanitaria, por la que se nombra personal estatutario fijo en la categoría de Fisioterapeuta.|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5227.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5227|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5227|
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|4335|MINISTERIO DE SANIDAD|Destinos|BOE-A-2024-5228|Resolución de 11 de marzo de 2024, de la Subsecretaría, por la que se resuelve la convocatoria de libre designación, efectuada por Resolución de 31 de enero de 2024.|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5228.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5228|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5228|Por Resolución de 31 de enero de 2024 (BOE de 15 de febrero), se anunció convocatoria pública para cubrir, por el sistema de libre designación, puestos de trabajo en este Departamento, de conformidad con lo dispuesto en el artículo 20.1.b) y c) de la Ley 30/1984, de 2 de agosto, de Medidas para la Reforma de la Función Pública. Acreditada la observancia de lo establecido en el artículo 54 del Reglamento General de Ingreso del Personal al servicio de la Administración General del Estado y de Provisión de Puestos de Trabajo y Promoción Profesional de los Funcionarios Civiles de la Administración General del Estado, aprobado por Real Decreto 364/1995, de 10 de marzo, así como la tramitación prevista en el título III, capítulo III, del citado reglamento, Este Ministerio resuelve declarar desiertos los puestos que se especifican en el anexo. Contra la presente resolución, que pone fin a la vía administrativa, podrá interponerse, potestativamente, recurso de reposición, en el plazo de un mes, ante el órgano que dicta el acto, conforme a lo dispuesto en los artículos 123 y 124 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas; o bien, directamente recurso contencioso-administrativo en el plazo de dos meses ante la Sala de lo Contencioso-Administrativo del Tribunal Superior de Justicia de Madrid o del que corresponda al domicilio del demandante, a elección del mismo, de acuerdo con lo previsto en la Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-administrativa. Madrid, 11 de marzo de 2024.–La Subsecretaria de Sanidad, P. D. (Orden SND/1298/2022, de 22 de diciembre), la Subdirectora General de Recursos Humanos e Inspección de Servicios, María Begoña Laguna Gascón. ANEXO Convocatoria: Resolución de 31 de enero de 2024 (BOE de 15 de febrero de 2024) Puesto adjudicado Puesto de procedencia Datos personales adjudicatario/a N.º de orden Código puesto Puesto de trabajo Nivel Ministerio, Centro Directivo, provincia Nivel Cplmto. Especif. Apellidos y nombre NRP GR CRPO Situación Secretaría de Estado de Sanidad Gabinete del Secretario de Estado 1 5535217 Secretario/Secretaria de Subdirector General. 16 Desierto. 2 5535218 Secretario/Secretaria de Subdirector General. 16 Desierto.
20240316|BOE|67|BOE-S-2024-67|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-S-2024-67.pdf|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|9595|MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA|Nombramientos|BOE-A-2024-5229|Resolución de 6 de marzo de 2024, de la Secretaría de Estado de Función Pública, por la que se nombra personal funcionario de carrera, por el sistema general de acceso libre, de la Escala Superior de Especialistas en Transporte, Infraestructuras y Seguridad de los Organismos Autónomos y las Agencias Estatales del Ministerio de Transportes, Movilidad y Agenda Urbana, especialidad de Transporte, Movilidad e Infraestructuras.|https://www.boe.es/boe/dias/2024/03/16/pdfs/BOE-A-2024-5229.pdf|https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-5229|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2024-5229|
